asvID,Kingdom,Phylum,Class,Order,Family,Genus,Species,TSA1,TSA2,TSA3,TSA4,TSA5,TSJ1,TSJ2,TSJ3,TSJ4,TSJ5,TSO1,TSO2,TSO3,TSO4,TSO5
asv6,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,xiamenense,0.003858521,0.298847926,0.103629234,0.053330323,0.094022688,0.135153546,0.132208589,0.336098048,0.472088647,0.179406896,0.410852136,0.116359727,0.162352237,0.092771686,0.192863694
asv8,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA,0,0.109611587,0.073526585,0.033009709,0.167830134,0.197416823,0.056134969,0.107909363,0.029061259,0.200964515,0.103035719,0.09488074,0.083994214,0.214791734,0.195833515
asv10,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA,0.24733119,0.092396313,0.181192572,0.195981034,0.19168121,0.039292624,0.16196319,0.075559356,0.113108927,0.058014828,0.082334252,0.087355995,0.074168288,0.180369793,0.218238197
asv32,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA,0.067395498,0.022778144,0.072527008,0.017520885,0.029741129,0.02177171,0.03190184,0.015419695,0.041605687,0.02756784,0.014595279,0.020464871,0.016659185,0.157705988,0.047560816
asv51,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA,0.014662379,0.038314681,0.087520664,0.091894333,0.041303083,0.0251233,0.131288344,0.005871455,0.00606314,0.001223638,0.003425423,0.001176375,0.00294279,0.027190688,0.002227366
asv54,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea,NA,0.036784566,0.04124424,0.043423936,0.079295552,0.013161722,0.018556364,0.06196319,0.017186832,0.031988292,0.004318722,0.013428649,0.023142139,0.018953564,0.023927805,0.015067476
asv68,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA,0.045016077,0.008327847,0.041463227,0.050033868,0.014179756,0.00880133,0.022392638,0.011172866,0.015053314,0.013316058,0.018293742,0.020038942,0.023392688,0.038831241,0.018430362
asv79,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aurantivirga,NA,0.022765273,0.022514812,0.022009919,0.015850079,0.035194881,0,0,0,0.008362952,0.000503851,0,0,0,0,0
asv81,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Jejudonia,NA,0.04733119,0.014483213,0.014666872,0.186091669,0.003853985,0.032180713,0,0.000741057,0,0.001331606,0.00039715,0.002494727,0,0,0.017032799
asv122,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA,0,0,0,0,0.021960442,0,0,0.020350577,0,0,0,0,0.041199062,0.064170023,0.039393807
asv157,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA,0,0.034265964,0.008054285,0.002393317,0.015270506,0,0,0,0,0,0.012609527,0.004543242,0.021696843,0.019812458,0.00454208
asv179,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Salinirepens,NA,0,0.039302172,0,0,0,0,0,0,0,0,0.012460595,0.005800746,0.008628859,0.024015991,0.012534393
asv201,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA,0,0,0.00073046,0,0.000945317,0.00376032,0,0.004332336,0,0.006730008,0.007024599,0.013812267,0.031123747,0.010641112,0.019871599
asv204,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,NA,0,0.015339039,0.003767637,0,0,0.00523175,0,0.016018241,0,0.00770172,0.017052647,0.004259289,0,0.004468091,0.00943355
asv217,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA,0.00977492,0.018894009,0.031525124,0.011831113,0.005381035,0,0,0,0,0,0,0,0,0,0
asv252,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicella,NA,0.005916399,0.025839368,0.013840298,0.016798374,0.012070971,0.001035451,0,0,0,0,0,0,0,0.00214586,0
asv266,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA,0,0.00556287,0.007669832,0.007947618,0.009962187,0,0,0.003847798,0,0.003562945,0.003475066,0.003103196,0,0.008583439,0.013582565
asv267,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA,0,0.006122449,0.003075622,0,0,0.006675931,0,0.00632749,0,0.010256964,0.004641696,0.003610255,0,0.009288927,0.009520898
